Preview,Publisher ID,Collection,Obs. ID,Product ID,Instrument,Int. Time,Overall Quality,Really Bad Tracking,Bad Tracking,Bad Weather,Background Problem,Dead CCDs
caom:CFHT/755385,ivo://cadc.nrc.ca/CFHT?755385/755385p,CFHT,755385.0,755385p,MegaPrime,600.1820000000004,0.7921,0.0079,0.0616,0.0223,0.1161,0.0
caom:CFHT/781219,ivo://cadc.nrc.ca/CFHT?781219/781219p,CFHT,781219.0,781219p,MegaPrime,500.2299999999997,0.8303,0.0023,0.0101,0.0068,0.1505,0.0
caom:CFHT/781220,ivo://cadc.nrc.ca/CFHT?781220/781220p,CFHT,781220.0,781220p,MegaPrime,500.23200000000014,0.7524,0.0049,0.0502,0.0188,0.1736,0.0
caom:CFHT/792935,ivo://cadc.nrc.ca/CFHT?792935/792935p,CFHT,792935.0,792935p,MegaPrime,500.185,0.8593,0.0051,0.043,0.0111,0.0816,0.0
caom:CFHT/792936,ivo://cadc.nrc.ca/CFHT?792936/792936p,CFHT,792936.0,792936p,MegaPrime,500.19699999999995,0.8649,0.0051,0.0626,0.0076,0.0598,0.0
caom:CFHT/792937,ivo://cadc.nrc.ca/CFHT?792937/792937p,CFHT,792937.0,792937p,MegaPrime,500.1929999999997,0.8422,0.0036,0.0698,0.0055,0.0789,0.0
caom:CFHT/792938,ivo://cadc.nrc.ca/CFHT?792938/792938p,CFHT,792938.0,792938p,MegaPrime,500.1949999999998,0.8623,0.0054,0.0401,0.0271,0.065,0.0
caom:CFHT/792939,ivo://cadc.nrc.ca/CFHT?792939/792939p,CFHT,792939.0,792939p,MegaPrime,500.1879999999999,0.8631,0.0077,0.0551,0.0126,0.0614,0.0
caom:CFHT/793065,ivo://cadc.nrc.ca/CFHT?793065/793065p,CFHT,793065.0,793065p,MegaPrime,615.1820000000004,0.3271,0.0005,0.0037,0.017,0.6517,0.0
caom:CFHT/793066,ivo://cadc.nrc.ca/CFHT?793066/793066p,CFHT,793066.0,793066p,MegaPrime,615.1850000000002,0.3417,0.0006,0.0094,0.0193,0.629,0.0
caom:CFHT/793067,ivo://cadc.nrc.ca/CFHT?793067/793067p,CFHT,793067.0,793067p,MegaPrime,615.2109999999998,0.2381,0.0,0.0,0.0555,0.7064,0.0
caom:CFHT/793068,ivo://cadc.nrc.ca/CFHT?793068/793068p,CFHT,793068.0,793068p,MegaPrime,615.1840000000002,0.2592,0.0002,0.0003,0.0163,0.7240000000000001,0.0
caom:CFHT/793069,ivo://cadc.nrc.ca/CFHT?793069/793069p,CFHT,793069.0,793069p,MegaPrime,615.1860000000003,0.2556,0.0006,0.0004,0.0176,0.7258,0.0
caom:CFHT/793070,ivo://cadc.nrc.ca/CFHT?793070/793070p,CFHT,793070.0,793070p,MegaPrime,615.1899999999998,0.2633,0.0014,0.0022,0.0128,0.7203,0.0
caom:CFHT/793071,ivo://cadc.nrc.ca/CFHT?793071/793071p,CFHT,793071.0,793071p,MegaPrime,615.1929999999996,0.3611,0.0002,0.0005,0.0091,0.6291,0.0
caom:CFHT/793664,ivo://cadc.nrc.ca/CFHT?793664/793664p,CFHT,793664.0,793664p,MegaPrime,180.1850000000001,0.8511,0.0025,0.0088,0.0435,0.0941,0.0
caom:CFHT/851171,ivo://cadc.nrc.ca/CFHT?851171/851171p,CFHT,851171.0,851171p,MegaPrime,600.2050000000004,0.7814,0.0001,0.0015,0.0034,0.2135,0.0
caom:CFHT/905854,ivo://cadc.nrc.ca/CFHT?905854/905854p,CFHT,905854.0,905854p,MegaPrime,600.214,0.6804,0.0033,0.009000000000000001,0.0087,0.2986,0.0
caom:CFHT/905855,ivo://cadc.nrc.ca/CFHT?905855/905855p,CFHT,905855.0,905855p,MegaPrime,600.1980000000002,0.7073,0.0004,0.0045,0.0006,0.2871,0.0
caom:CFHT/905856,ivo://cadc.nrc.ca/CFHT?905856/905856p,CFHT,905856.0,905856p,MegaPrime,600.2090000000002,0.6888,0.0033,0.0085,0.0055,0.294,0.0
caom:CFHT/905857,ivo://cadc.nrc.ca/CFHT?905857/905857p,CFHT,905857.0,905857p,MegaPrime,600.2079999999999,0.6873,0.0017,0.0109,0.002,0.298,0.0
caom:CFHT/905858,ivo://cadc.nrc.ca/CFHT?905858/905858p,CFHT,905858.0,905858p,MegaPrime,600.2059999999998,0.6951,0.0017,0.0087,0.0049,0.2895,0.0
caom:CFHT/967983,ivo://cadc.nrc.ca/CFHT?967983/967983p,CFHT,967983.0,967983p,MegaPrime,500.2230000000001,0.8742,0.0068,0.0179,0.0196,0.0814,0.0
caom:CFHT/967984,ivo://cadc.nrc.ca/CFHT?967984/967984p,CFHT,967984.0,967984p,MegaPrime,500.22099999999983,0.8584,0.0042,0.012,0.0138,0.1116,0.0
caom:CFHT/995486,ivo://cadc.nrc.ca/CFHT?995486/995486p,CFHT,995486.0,995486p,MegaPrime,120.15500000000007,0.7619,0.002,0.0118,0.009000000000000001,0.2154,0.0
caom:CFHT/995534,ivo://cadc.nrc.ca/CFHT?995534/995534p,CFHT,995534.0,995534p,MegaPrime,60.10999999999997,0.9248,0.0033,0.0085,0.0054,0.057999999999999996,0.0
caom:CFHT/995793,ivo://cadc.nrc.ca/CFHT?995793/995793p,CFHT,995793.0,995793p,MegaPrime,60.13100000000002,0.9058,0.0027,0.0323,0.0041,0.055,0.0
